Threads,BlockSize,HackSize,Time_s,MFLOPS,NNZ,Matrix,Format,Mode,GFLOPS
22,-1,16,0.00053297,4778.43,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,4.77843
23,-1,16,0.00051185,4975.63,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,4.97563
24,-1,16,0.00052871,4817.0,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,4.817
25,-1,16,0.00052461,4854.65,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,4.8546499999999995
26,-1,16,0.00049124,5184.37,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,5.1843699999999995
27,-1,16,0.0004627,5504.2,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,5.5042
28,-1,16,0.00048481,5253.12,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,5.25312
29,-1,16,0.00046844,5436.74,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,5.4367399999999995
30,-1,16,0.00046466,5480.9,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,5.480899999999999
31,-1,16,0.00043996,5788.68,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,5.78868
32,-1,16,0.00040238,6329.36,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,6.329359999999999
33,-1,16,0.00041464,6142.2,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,6.1422
34,-1,16,0.00037726,6750.76,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,6.7507600000000005
35,-1,16,0.00036734,6933.03,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,6.93303
36,-1,16,0.00036265,7022.59,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,7.02259
37,-1,16,0.00048919,5206.08,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,5.20608
38,-1,16,0.00041694,6108.27,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,6.10827
39,-1,16,0.00054671,4658.34,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,4.65834
40,-1,16,0.00048107,5294.02,1273389,mac_econ_fwd500.mtx,HLL,OpenMP,5.294020000000001
